Assignment,Attendence,Book,Course,Feedback,Lecture,Manual,Page,Project,Questionnaire,Quiz,Source,Study_material,Survey,Test,URL
59364.0,873.0,291.0,16587.0,0.0,18042.0,3492.0,0.0,0.0,291.0,17751.0,0.0,2037.0,1746.0,126294.0,0.0
98736.0,1452.0,484.0,27588.0,0.0,30008.0,5808.0,0.0,0.0,484.0,29524.0,0.0,3388.0,2904.0,210056.0,0.0
14892.0,219.0,73.0,4161.0,0.0,4526.0,876.0,0.0,0.0,73.0,4453.0,0.0,511.0,438.0,31682.0,0.0
9006.0,171.0,133.0,4636.0,0.0,1368.0,342.0,0.0,0.0,19.0,2945.0,0.0,361.0,171.0,4123.0,38.0
282978.0,5373.0,4179.0,145668.0,0.0,42984.0,10746.0,0.0,0.0,597.0,92535.0,0.0,11343.0,5373.0,129549.0,1194.0
244110.0,4635.0,3605.0,125660.0,0.0,37080.0,9270.0,0.0,0.0,515.0,79825.0,0.0,9785.0,4635.0,111755.0,1030.0
82476.0,1566.0,1218.0,42456.0,0.0,12528.0,3132.0,0.0,0.0,174.0,26970.0,0.0,3306.0,1566.0,37758.0,348.0
2050.0,0.0,30.0,900.0,0.0,620.0,100.0,20.0,0.0,0.0,2330.0,0.0,220.0,60.0,2420.0,10.0
80360.0,0.0,1176.0,35280.0,0.0,24304.0,3920.0,784.0,0.0,0.0,91336.0,0.0,8624.0,2352.0,94864.0,392.0
80155.0,0.0,1173.0,35190.0,0.0,24242.0,3910.0,782.0,0.0,0.0,91103.0,0.0,8602.0,2346.0,94622.0,391.0
21525.0,0.0,315.0,9450.0,0.0,6510.0,1050.0,210.0,0.0,0.0,24465.0,0.0,2310.0,630.0,25410.0,105.0
2794.0,77.0,33.0,1276.0,0.0,847.0,33.0,0.0,0.0,11.0,1254.0,0.0,132.0,165.0,6886.0,0.0
120650.0,3325.0,1425.0,55100.0,0.0,36575.0,1425.0,0.0,0.0,475.0,54150.0,0.0,5700.0,7125.0,297350.0,0.0
90170.0,2485.0,1065.0,41180.0,0.0,27335.0,1065.0,0.0,0.0,355.0,40470.0,0.0,4260.0,5325.0,222230.0,0.0
107188.0,2954.0,1266.0,48952.0,0.0,32494.0,1266.0,0.0,0.0,422.0,48108.0,0.0,5064.0,6330.0,264172.0,0.0
7850.0,50.0,50.0,5675.0,0.0,2325.0,625.0,25.0,0.0,25.0,6425.0,0.0,550.0,225.0,10200.0,125.0
123402.0,786.0,786.0,89211.0,0.0,36549.0,9825.0,393.0,0.0,393.0,101001.0,0.0,8646.0,3537.0,160344.0,1965.0
241152.0,1536.0,1536.0,174336.0,0.0,71424.0,19200.0,768.0,0.0,768.0,197376.0,0.0,16896.0,6912.0,313344.0,3840.0
71592.0,456.0,456.0,51756.0,0.0,21204.0,5700.0,228.0,0.0,228.0,58596.0,0.0,5016.0,2052.0,93024.0,1140.0
4155.0,15.0,30.0,2685.0,0.0,1080.0,195.0,60.0,0.0,15.0,1950.0,0.0,180.0,105.0,5190.0,0.0
77006.0,278.0,556.0,49762.0,0.0,20016.0,3614.0,1112.0,0.0,278.0,36140.0,0.0,3336.0,1946.0,96188.0,0.0
188360.0,680.0,1360.0,121720.0,0.0,48960.0,8840.0,2720.0,0.0,680.0,88400.0,0.0,8160.0,4760.0,235280.0,0.0
32409.0,117.0,234.0,20943.0,0.0,8424.0,1521.0,468.0,0.0,117.0,15210.0,0.0,1404.0,819.0,40482.0,0.0
498.0,0.0,3.0,150.0,0.0,78.0,24.0,0.0,0.0,3.0,480.0,0.0,18.0,15.0,813.0,3.0
50630.0,0.0,305.0,15250.0,0.0,7930.0,2440.0,0.0,0.0,305.0,48800.0,0.0,1830.0,1525.0,82655.0,305.0
